Product ID,Product Name,Product Category,Target Market,Customer Segment,Customer Persona,Geography,Industry,Customer Pain Point,Value Proposition,Competitor Name,Competitor Price,Proposed Product Price,Pricing Model,Marketing Channel,Campaign Type,Campaign Budget,Expected Reach,Expected Leads,Expected Conversions,Conversion Rate %,Customer Acquisition Cost,Expected Revenue,Revenue Forecast,Market Demand Score,Product Readiness Score,Channel Effectiveness Score,Launch Risk Score,GTM Priority,Launch Phase,Launch Status
GTMP-001,LaunchPilot AI,AI SaaS,India,Enterprise,Product Marketing Manager,Hyderabad,EdTech,Marketing channels are hard to prioritize,AI-assisted GTM planning with one integrated decision workspace,HubSpot,18000,14999,Monthly Subscription,LinkedIn,Partner Campaign,244637,17872,1008,62,6.15,3945.76,929938,2799759.4,75,74,58,66,Low,Launch,Launched
GTMP-002,LaunchPilot AI,AI SaaS,India,Mid-Market,Business Analyst,Bengaluru,SaaS,Limited visibility into launch readiness,Reduce launch planning time and improve cross-functional alignment,Productboard,20000,7999,Usage-Based,Community Marketing,Nurture Sequence,168966,12318,482,84,17.43,2011.5,671916,2558399.47,82,88,83,25,High,Launch,Planned
GTMP-003,LaunchPilot AI,AI SaaS,India,SMB,Growth Manager,Chennai,Manufacturing,Revenue forecast changes frequently,"Connect market, customer, channel and revenue decisions in one place",Aha!,24000,19999,Annual Subscription,SEO,Creator Campaign,111501,6520,212,13,6.13,8577.0,259987,794590.17,68,69,74,52,Medium,Launch,Launched
GTMP-004,LaunchPilot AI,AI SaaS,India,Mid-Market,Founder / Growth Lead,Mumbai,Professional Services,Marketing channels are hard to prioritize,"Connect market, customer, channel and revenue decisions in one place",Notion,10000,19999,Usage-Based,SEO,Community Event,93432,6458,197,14,7.11,6673.71,279986,619679.6,87,88,84,52,High,Launch,Launched
GTMP-005,LaunchPilot AI,AI SaaS,India,Mid-Market,Business Analyst,Delhi NCR,SaaS,Unclear target segment and ICP,AI-assisted GTM planning with one integrated decision workspace,Jira Product Discovery,12000,7999,Annual Subscription,Meta Ads,Retargeting,133641,8454,470,61,12.98,2190.84,487939,1559669.16,58,81,84,32,High,Pre-Launch,In Progress
GTMP-006,LaunchPilot AI,AI SaaS,India,SMB,Product Manager,Hyderabad,Manufacturing,Marketing channels are hard to prioritize,AI-assisted GTM planning with one integrated decision workspace,HubSpot,18000,9999,Usage-Based,LinkedIn,Community Event,91904,4565,234,28,11.97,3282.29,279972,1010983.59,95,84,68,37,High,Post-Launch,Planned
GTMP-007,LaunchPilot AI,AI SaaS,India,SMB,Founder / Growth Lead,Pune,Professional Services,Revenue forecast changes frequently,Prioritize launch actions using data-driven scores,Productboard,20000,12999,Freemium + Paid,Google Ads,Creator Campaign,140230,5975,315,33,10.48,4249.39,428967,1237929.36,64,72,80,50,Medium,Launch,Planned
GTMP-008,LaunchPilot AI,AI SaaS,India,SMB,Marketing Manager,Kolkata,FinTech,Poor onboarding and activation planning,"Connect market, customer, channel and revenue decisions in one place",Aha!,24000,14999,Annual Subscription,Email,Product Demo,243219,17983,965,101,10.47,2408.11,1514899,4075131.05,58,65,69,65,Low,Launch,In Progress
GTMP-009,LaunchPilot AI,AI SaaS,India,SMB,Growth Manager,Delhi NCR,E-commerce,Unclear target segment and ICP,"Connect market, customer, channel and revenue decisions in one place",Notion,10000,19999,Monthly Subscription,YouTube,Demo Webinar,188282,10657,533,66,12.38,2852.76,1319934,4447813.12,80,64,83,38,Medium,Pre-Launch,In Progress
GTMP-010,LaunchPilot AI,AI SaaS,India,SMB,Product Marketing Manager,Bengaluru,Healthcare,Launch planning is fragmented across spreadsheets,AI-assisted GTM planning with one integrated decision workspace,Jira Product Discovery,12000,12999,Usage-Based,Google Ads,Nurture Sequence,233527,14958,581,72,12.39,3243.43,935928,2097458.61,61,94,68,42,Medium,Post-Launch,Planned
